Date,const,Mkt-RF,SMB,HML
2021-05,0.017376712464332537,-0.004559708351118289,-0.015396492254625012,0.04222437545639507
2021-06,0.0027445663357437344,0.04104104496046922,0.0009577104268871717,-0.07078101697132085
2021-07,0.035340607485123944,-0.020876160292784125,-0.025693318051833523,-0.024181956657433966
2021-08,0.029857347788464085,0.013759678900123432,-0.009951001479873966,-0.00473419439501264
2021-09,-0.019186129194410217,-0.024032138440996956,0.005547907528822863,0.027154688554469383
2021-10,0.008451800810107532,0.06796204403184865,0.03657999006921845,-0.07254531329971443
2021-11,-0.0015945230610222333,-0.011460204400479727,-0.0069616480120335425,-0.029214566192438386
2021-12,0.04825259898276361,-0.03142896885984899,-0.05918524051326829,0.0724763355321262
2022-01,0.017626541364560988,-0.060595854233240966,-0.03608645868565863,0.09686383794594337
2022-02,-0.048597749594302256,0.028528375589810456,0.025820708683051512,0.015937972073027228
2022-03,0.00444355747145788,0.007655191774445306,0.004783017872698838,0.006205244948432108
2022-04,0.024123477105859072,-0.12768664020807685,-0.032565227050312076,0.057737427604007976
2022-05,0.0061880183471785515,-0.00789419548168035,-0.006271419182205557,0.07206884275363136
2022-06,0.0536197975314704,-0.13828642384382342,0.025618792676240777,-0.02868196667896931
2022-07,0.008929663334274035,0.07227087714881526,0.025922849689301596,-0.03459342769350683
2022-08,-0.05285299791147654,0.0032905223405972125,0.023972577017432065,-0.010191550540928539
2022-09,-0.018642877716175833,-0.07385884533111606,0.003173279851027673,-0.017312159984317125
2022-10,0.04578051214166902,0.037479330019097756,-0.04697240371912992,0.07224035408027424
2022-11,-0.029723203456025988,0.10238192806706047,-0.06380023608637077,0.059555689977702414
2022-12,-0.033793654217750504,-0.04227880722874289,-0.030169602316758633,0.03206786032388392
2023-01,-0.0396692375602378,0.14356341325224314,0.021745042060780272,-0.06520916324920337
2023-02,-0.050768121285837416,0.03953339510604841,-0.02406209694127856,-0.05414100165458338
2023-03,-0.0061001227956017515,0.027567191745276665,-0.06834415077100142,-0.09970997759981344
2023-04,-0.020534350882256795,0.008554353154847644,-0.059869155111976116,0.04443388963491327
2023-05,0.07355877462240594,-0.03139263785320269,0.007959292154515034,-0.1674962906786974
2023-06,-0.009562914024937048,0.05913440182480164,0.0032620354090347426,0.005292552177175313
2023-07,-0.048210615468719124,0.09423369380178968,-0.004521412279781827,0.012205986614121941
2023-08,0.02383943128283984,-0.05543425042660762,-0.048596737150741615,-0.015994771382974577
2023-09,-0.024301345230853515,-0.020089900591855794,-0.021673555104558265,0.006616234055438323
2023-10,-0.042092412132766176,-0.0007834735567183337,-0.03607738192783472,-0.01258822414913312
2023-11,-0.05922792696936603,0.15042626973577986,-0.012112148654295647,-0.03323509715578096
2023-12,-0.02718946352363822,0.08285793592217737,0.06126567974494298,0.04591031250384539
2024-01,0.036271232288929874,-0.0138222829208646,-0.07757265291497074,-0.026318492749532744
2024-02,-0.0036394786253659793,0.0301038515857378,0.005149407019332422,-0.037105082477803475
2024-03,-0.0587563610762319,0.080577631628702,-0.022293689081141547,0.05473828834984993
2024-04,-0.014272769171473717,-0.04117163603123581,-0.0375154587626212,-0.0011907966358207214
2024-05,-0.047309280423287366,0.06127081995555191,0.007243608569754368,0.016924122195670042
2024-06,0.04316435243891839,-0.009848268832980758,-0.05350028275244753,-0.06600952052655677
2024-07,0.12761425779330401,-0.14589078622136492,0.16176689963794005,0.07278700368427884
2024-08,0.08193518648063924,-0.06980752126338631,0.02085262065573943,0.0005808939320935458
2024-09,0.009695015794382554,0.0017321355056369267,0.02196473560577799,-0.00559719916038093
2024-10,0.010341330988951196,-0.011441352001176677,-0.02043073281610883,-0.0036336094875955008
2024-11,0.027791812795294264,0.035923666083856894,0.038018987211636546,-0.03896912771433776
2024-12,0.015886464507575644,-0.04124826068281682,-0.020777605358762954,-0.04653997825239392
2025-01,0.03292389963774745,0.0014278768551334396,0.0015064087426781064,-0.030544157900279666
2025-02,0.0035777964313850412,-0.02409229765690988,-0.037214863818653875,0.027302788967897628
2025-03,-0.00709654574253572,-0.06041120552387649,-0.02600143444068603,0.011170687351423264
2025-04,-0.02835889155584582,0.01128771525207955,-0.010126448774607704,-0.061818158298173755
2025-05,0.022288549256125032,0.04325087793588674,0.01955886989376281,-0.04538671131404383
2025-06,-0.06985154115858323,0.11079525060758678,0.02233226951947277,-0.012904844337352254
2025-07,-0.0908480476099076,0.08966587655355947,-0.017302268773671404,0.031821389504638475
2025-08,0.020937095454445068,0.001069546825126753,0.023755494732579548,0.059466862080780836
2025-09,0.017059707299305463,-0.00853379779939741,0.06595191123949082,-0.02034309114380906
2025-10,0.042437876748210396,-0.01924262373052267,0.049005708244464846,-0.02362836211029521
2025-11,0.04258820887353139,-0.022016689760807628,-0.03303832817906511,0.06299149794187246
